titulo,autor,anio_publicacion,decada,idioma,categoria,num_ediciones,rating_promedio,num_ratings
Unravel me,Tahereh Mafi,2013,2010s,English,fiction,17,3.85,40.0
Carmilla,Sheridan Le Fanu,1871,1870s,Italian,fiction,571,3.921875,64.0
The Summer I Turned Pretty,Jenny Han,2000,2000s,Portuguese,fiction,26,4.2651515,132.0
The Eyes of Darkness,Dean Koontz,1981,1980s,German,fiction,33,3.8682635,167.0
The Time Machine,H. G. Wells,1895,1890s,Spanish,fiction,1146,4.00813,123.0
Wuthering Heights,Emily Brontë,1846,1840s,Other,fiction,2886,4.1157894,285.0
A Wizard of Earthsea,Ursula K. Le Guin,1968,1960s,Chinese,fiction,86,3.9491525,118.0
They Both Die at the End,Adam Silvera,2017,2010s,Spanish,fiction,15,4.090909,66.0
Anne of the Island,Lucy Maud Montgomery,1915,1910s,Other,fiction,781,3.875,16.0
Anne of Green Gables,Lucy Maud Montgomery,1908,1900s,German,fiction,1299,4.3092785,97.0
The Scarlet Letter,Nathaniel Hawthorne,1800,1800s,German,fiction,2406,3.40625,128.0
Caraval,Stephanie Garber,2000,2000s,English,fiction,26,3.8333333,48.0
The Great Gatsby,F. Scott Fitzgerald,1920,1920s,Other,fiction,1179,3.965812,234.0
A Princess of Mars,Edgar Rice Burroughs,1912,1910s,Spanish,fiction,456,3.893617,47.0
Мастер и Маргарита,Михаил Афанасьевич Булгаков,1966,1960s,Other,fiction,234,4.1368423,95.0
The Shining,Stephen King,1977,1970s,French,fiction,97,4.172043,279.0
La Peste,Albert Camus,1942,1940s,German,fiction,280,4.121212,33.0
Haunting Adeline,H. D. Carlton,2021,2020s,Spanish,fiction,16,3.6038961,308.0
Mrs. Dalloway,Virginia Woolf,1925,1920s,German,fiction,476,3.64,50.0
The Wonderful Wizard of Oz,L. Frank Baum,1899,1890s,German,fiction,2049,3.935484,124.0
The Secret Garden,Frances Hodgson Burnett,1911,1910s,English,fiction,1594,3.9333334,90.0
Interview With the Vampire,Anne Rice,1976,1970s,German,fiction,83,3.9247313,93.0
The Outsiders,S. E. Hinton,1967,1960s,Russian,fiction,77,4.36,125.0
Frankenstein or The Modern Prometheus,Mary Shelley,1818,1810s,German,fiction,2185,3.9680364,219.0
Atlas Shrugged (Centennial Ed. HC),Ayn Rand,1936,1930s,Spanish,fiction,77,3.278261,115.0
The Silmarillion,J.R.R. Tolkien,1977,1970s,Other,fiction,149,3.9661016,118.0
The Sun Also Rises,Ernest Hemingway,1926,1920s,German,fiction,215,3.7941177,34.0
Misery,Stephen King,1978,1970s,Italian,fiction,99,4.1678834,137.0
The Fellowship of the Ring,J.R.R. Tolkien,1954,1950s,German,fiction,297,4.3589745,390.0
A Good Girl's Guide to Murder,Holly Jackson,2019,2010s,Other,fiction,38,4.0060606,165.0
Dork Diaries Collection,Rachel Renée Russell,2020,2020s,English,fiction,13,4.1666665,42.0
We Were Never Meant To Be,Palle Vasu,2025,2020s,English,fiction,1,3.4945054,91.0
The Lost World,Arthur Conan Doyle,1900,1900s,German,fiction,747,4.0454545,44.0
Записки изъ подполья,Фёдор Михайлович Достоевский,1864,1860s,German,fiction,837,4.255814,43.0
Verity,Colleen Hoover,2018,2010s,English,fiction,23,3.856,125.0
Restore me,Tahereh Mafi,2018,2010s,English,fiction,9,4.0833335,24.0
The War of the Worlds,H. G. Wells,0,0s,German,fiction,457,3.826087,161.0
White Fang,Jack London,1905,1900s,German,fiction,387,4.0,66.0
Emma,Jane Austen,1815,1810s,Other,fiction,2263,3.9666667,60.0
A Little Princess,Frances Hodgson Burnett,1905,1900s,Spanish,fiction,305,4.2,20.0
L’étranger,Albert Camus,1942,1940s,German,fiction,468,4.0826445,121.0
The Mystery of the Blue Train,Agatha Christie,1928,1920s,German,fiction,124,3.9629629,27.0
Double Down,Jeff Kinney,2007,2000s,Other,fiction,52,4.491071,112.0
Anthem,Ayn Rand,1936,1930s,English,fiction,103,3.490196,51.0
Voyage au Centre de la Terre,Jules Verne,1867,1860s,Other,fiction,205,4.088889,90.0
Howl's Moving Castle,Diana Wynne Jones,1986,1980s,French,fiction,37,4.4528303,106.0
The Queen of Nothing,Holly Black,2019,2010s,English,fiction,9,4.3,10.0
Insomnia,Stephen King,1994,1990s,Spanish,fiction,58,3.862745,102.0
